,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,15","0,85",1,0,1,1,"1090,44394","101,5709","664,65",,
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","10,2942","4,549","7,8178","1,0972","6,7206","8,9151","834,348862","95,2731","250,49",,
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,44",0,"1,44","1,44","1074,636201","100,4815","241,42",,
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,0522","2,9477","3,0016","0,0042","2,9974","3,0059","1038,786506","103,5142","1008,05",,
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,45","3,25","3,3329",0,"3,333","3,333","1049,831236","100,2842","1102,52",35.0,
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3063",0,"1,3064","1,3064","719,581073","100,7731","234,27",10.0,
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4151","1,2081","1,321","0,0056","1,3154","1,3267","1083,987048","100,9524","419,79",40.0,
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,3","1,9","2,0307","0,003","2,0277","2,0338","1006,604613","100,4588",122,35.0,
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,1385","1,4906","1,8697","0,0655","1,8043","1,9353","1097,383007","102,7032","432,91",5.0,
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,1315","1,5843","1,8684","0,1117","1,7566","1,9802","1010,169327","100,8175","238,11",10.0,
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,95","1,5504","1,7496","0,0148","1,7348","1,7644","1067,234355","102,5195","642,4",,
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,9871","1,6793","1,8399","0,0384","1,8015","1,8784","1025,248689","102,3201","533,92",,
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"127,676542","16,1296",N/D,,
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"193,492284","16,4906",N/D,,
14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),10/09/2029,"DI + 0,49%",--,--,"0,5455","0,0801","0,4654","0,6257","1001,877138","99,8453","706,4",,
15,AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%","7,3787","3,4803","5,3408","0,538","4,8029","5,8789","994,863518","99,27","230,17",,
16,ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%","0,85","0,6098","0,7326","0,0222","0,7104","0,7549","5074,379644","100,0685",104,,
17,ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%","1,2","0,9588","1,0824","0,0117","1,0707","1,0941","1040,263135","101,0758","584,75",,
18,ALGTA5,ALGAR TELECOM S/A (*),28/01/2032,"DI + 1,3%","1,35","1,1","1,2242","0,0209","1,2033","1,2452","1026,256245","100,303","1019,02",,
19,ALPA22,ALPARGATAS S.A. (*) (**),12/12/2029,"DI + 1,5%","1,1085","0,5796","0,9043","0,1263","0,778","1,0307","1060,672265","101,6982","722,13",,
20,ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",--,--,--,--,--,--,N/D,N/D,N/D,,
21,AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%","29,8388","9,75","18,5216","2,2015","16,3201","20,7232","808,885506","75,6669","471,93",10.0,
22,ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",--,--,"1,5671","0,0383","1,5288","1,6056","1054,88674","101,0962","488,87",,
23,ANHBA5,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),05/11/2030,"DI + 0,44%","0,6","0,451","0,495","0,0189","0,4761","0,514","1054,394136","99,8153","850,78",45.0,
24,ANHBA6,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),15/07/2032,"DI + 0,5%","0,7295","0,55","0,6048","0,0301","0,5747","0,635","1017,335751","99,5501","1089,54",45.0,
25,APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%","1,45","1,15","1,3",0,"1,3","1,3","761,123836","101,2899","387,25",,
