,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B,Indexador
0,AALM12,AURA ALMAS MINERACAO S.A. (*),02/10/2030,"DI + 1,6%","1,1","0,8","0,95","0,0002","0,9498","0,9503","1093,794612","101,6954","661,73",,,DI+
1,AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%","9,4527","6,5638","8,105","1,2235","6,8816","9,3286","834,297661","95,0791","247,16",,,DI+
2,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),15/10/2026,"DI + 1,95%","1,64","1,24","1,4388","0,0032","1,4356","1,4421","1076,609804","100,4766","238,42",,,DI+
3,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%","3,1081","2,9113","2,9991","0,0071","2,9921","3,0063","1040,944478","103,5107","1004,29",35.0,,DI+
4,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),15/06/2035,"DI + 3,4%","3,4463","3,2056","3,3118","0,0339","3,2779","3,3458","1052,913185","100,3725","1098,86",50.0,,DI+
5,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%","1,5","1,1","1,3",0,"1,3","1,3","720,924346","100,7689","231,27",,,DI+
6,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%","1,4192","1,0967","1,2785","0,0276","1,2509","1,3061","1086,704007","101,0156","416,87",10.0,,DI+
7,AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,"2,3","1,9","2,1085","0,0363","2,0722","2,145","1008,148784","100,4113",119,,,DI+
8,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%","2,0837","1,5179","1,8455","0,0745","1,7709","1,9201","1099,885341","102,7256","429,93",,,DI+
9,AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%","2,1","1,6155","1,8709","0,1512","1,7196","2,0222","1012,040806","100,8048","235,11",,,DI+
10,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%","1,9392","1,55","1,7538","0,0157","1,7381","1,7695","1069,105448","102,4965","639,29",,,DI+
11,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%","1,9547","1,7","1,8296","0,0389","1,7907","1,8686","1027,385214","102,3285","530,89",,,DI+
12,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"122,428961","15,4375",N/D,,,DI+
13,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,30/03/2030,DI + 2%,--,--,--,--,--,--,"188,772963","16,058",N/D,,,DI+
